date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:41	13443/13443	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2010:45:41%20GMT	https://pruefvorbnes.onrender.com/index2	C:/My%20Web%20Sites/zakarya2/pruefvorbnes.onrender.com/index2.html	(from )
11:45:41	179/179	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202025%2010:45:41%20GMT	https://pruefvorbnes.onrender.com/robots.txt		(from )
11:45:41	189/189	---MC-	302	error ('Found')	text/html	date:Sun,%2028%20Sep%202025%2010:45:42%20GMT	https://pruefvorbnes.onrender.com/home	C:/My%20Web%20Sites/zakarya2/pruefvorbnes.onrender.com/home	(from https://pruefvorbnes.onrender.com/index2)
11:45:42	3586/3586	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2010:45:42%20GMT	https://pruefvorbnes.onrender.com/	C:/My%20Web%20Sites/zakarya2/pruefvorbnes.onrender.com/index.html	(from https://pruefvorbnes.onrender.com/index2)
11:45:42	189/189	---MC-	302	error ('Found')	text/html	date:Sun,%2028%20Sep%202025%2010:45:42%20GMT	https://pruefvorbnes.onrender.com/logout	C:/My%20Web%20Sites/zakarya2/pruefvorbnes.onrender.com/logout	(from https://pruefvorbnes.onrender.com/index2)
11:45:42	189/189	---MC-	302	error ('Found')	text/html	date:Sun,%2028%20Sep%202025%2010:45:42%20GMT	https://pruefvorbnes.onrender.com/quiz/11	C:/My%20Web%20Sites/zakarya2/pruefvorbnes.onrender.com/quiz/11	(from https://pruefvorbnes.onrender.com/index2)
11:45:42	189/189	---MC-	302	error ('Found')	text/html	date:Sun,%2028%20Sep%202025%2010:45:43%20GMT	https://pruefvorbnes.onrender.com/quiz/12	C:/My%20Web%20Sites/zakarya2/pruefvorbnes.onrender.com/quiz/12	(from https://pruefvorbnes.onrender.com/index2)
11:45:43	189/189	---MC-	302	error ('Found')	text/html	date:Sun,%2028%20Sep%202025%2010:45:43%20GMT	https://pruefvorbnes.onrender.com/quiz/16	C:/My%20Web%20Sites/zakarya2/pruefvorbnes.onrender.com/quiz/16	(from https://pruefvorbnes.onrender.com/index2)
11:45:43	189/189	---MC-	302	error ('Found')	text/html	date:Sun,%2028%20Sep%202025%2010:45:43%20GMT	https://pruefvorbnes.onrender.com/quiz/17	C:/My%20Web%20Sites/zakarya2/pruefvorbnes.onrender.com/quiz/17	(from https://pruefvorbnes.onrender.com/index2)
11:45:43	189/189	---MC-	302	error ('Found')	text/html	date:Sun,%2028%20Sep%202025%2010:45:43%20GMT	https://pruefvorbnes.onrender.com/quiz/18	C:/My%20Web%20Sites/zakarya2/pruefvorbnes.onrender.com/quiz/18	(from https://pruefvorbnes.onrender.com/index2)
